order_id,customer_country,shipping_date,delivery_date,order_status,shipping_provider
5301,Germany,2025-04-24,2025-04-29,In Transit,FedEx
5302,Canada,2025-04-24,2025-04-25,Delivered,DHL
5303,Australia,2025-04-24,2025-04-28,Delivered,UPS
5304,UK,2025-04-24,2025-04-29,In Transit,FedEx
5305,Germany,2025-04-24,2025-04-29,Shipped,USPS
5306,Canada,2025-04-24,2025-04-27,Delivered,UPS
5307,UK,2025-04-24,2025-04-27,Delivered,FedEx
5308,Australia,2025-04-24,2025-04-25,Delivered,FedEx
5309,USA,2025-04-24,2025-04-25,Shipped,DHL
5310,UK,2025-04-24,2025-04-27,Shipped,USPS
5311,Germany,2025-04-24,2025-04-27,In Transit,UPS
5312,Canada,2025-04-24,2025-05-01,Delivered,USPS
5313,Germany,2025-04-24,2025-04-27,Returned,DHL
5314,Germany,2025-04-24,2025-04-25,In Transit,FedEx
5315,USA,2025-04-24,2025-04-28,In Transit,DHL
5316,USA,2025-04-24,2025-04-25,Returned,USPS
5317,UK,2025-04-24,2025-04-25,Shipped,DHL
5318,Germany,2025-04-24,2025-04-28,Returned,FedEx
5319,USA,2025-04-24,2025-04-28,Shipped,FedEx
5320,Germany,2025-04-24,2025-04-26,In Transit,DHL
5321,Germany,2025-04-24,2025-04-30,Returned,UPS
5322,Germany,2025-04-24,2025-04-26,Returned,DHL
5323,Canada,2025-04-24,2025-04-25,Returned,USPS
5324,Australia,2025-04-24,2025-04-29,Returned,DHL
5325,USA,2025-04-24,2025-04-29,Delivered,FedEx
5326,USA,2025-04-24,2025-05-01,Returned,UPS
5327,UK,2025-04-24,2025-04-29,Returned,UPS
5328,USA,2025-04-24,2025-04-30,Delivered,USPS
5329,Australia,2025-04-24,2025-05-01,Delivered,UPS
5330,Germany,2025-04-24,2025-04-27,Shipped,DHL
5331,UK,2025-04-24,2025-04-29,Returned,USPS
5332,USA,2025-04-24,2025-04-26,Returned,USPS
5333,Germany,2025-04-24,2025-04-28,Delivered,UPS
5334,Australia,2025-04-24,2025-04-29,Returned,DHL
5335,UK,2025-04-24,2025-04-29,Returned,USPS
5336,USA,2025-04-24,2025-04-27,Returned,USPS
5337,UK,2025-04-24,2025-05-01,Delivered,USPS
5338,Australia,2025-04-24,2025-05-01,Returned,FedEx
5339,Canada,2025-04-24,2025-04-26,Returned,USPS
5340,Germany,2025-04-24,2025-04-29,Shipped,USPS
5341,Canada,2025-04-24,2025-04-26,Shipped,USPS
5342,USA,2025-04-24,2025-04-29,Returned,FedEx
5343,USA,2025-04-24,2025-04-27,Shipped,UPS
5344,Germany,2025-04-24,2025-04-30,Delivered,USPS
5345,Germany,2025-04-24,2025-04-26,Delivered,UPS
5346,USA,2025-04-24,2025-04-29,Shipped,FedEx
5347,Germany,2025-04-24,2025-04-30,Returned,FedEx
5348,Canada,2025-04-24,2025-05-01,Returned,USPS
5349,UK,2025-04-24,2025-04-26,Returned,UPS
5350,Germany,2025-04-24,2025-04-28,Returned,USPS
