order_id,customer_country,shipping_date,delivery_date,order_status,shipping_provider
5101,UK,2025-04-20,2025-04-23,Delivered,FedEx
5102,USA,2025-04-20,2025-04-23,Shipped,USPS
5103,USA,2025-04-20,2025-04-21,Returned,USPS
5104,USA,2025-04-20,2025-04-24,In Transit,FedEx
5105,Australia,2025-04-20,2025-04-21,In Transit,DHL
5106,UK,2025-04-20,2025-04-25,Delivered,UPS
5107,Germany,2025-04-20,2025-04-23,Shipped,USPS
5108,USA,2025-04-20,2025-04-25,Returned,USPS
5109,USA,2025-04-20,2025-04-26,Returned,FedEx
5110,Canada,2025-04-20,2025-04-22,In Transit,DHL
5111,Canada,2025-04-20,2025-04-23,In Transit,FedEx
5112,Canada,2025-04-20,2025-04-23,Delivered,FedEx
5113,UK,2025-04-20,2025-04-25,Delivered,DHL
5114,USA,2025-04-20,2025-04-27,Returned,FedEx
5115,UK,2025-04-20,2025-04-25,Shipped,DHL
5116,USA,2025-04-20,2025-04-21,Returned,UPS
5117,Canada,2025-04-20,2025-04-22,Returned,DHL
5118,UK,2025-04-20,2025-04-24,In Transit,USPS
5119,Canada,2025-04-20,2025-04-27,Returned,DHL
5120,Germany,2025-04-20,2025-04-25,Returned,DHL
5121,Canada,2025-04-20,2025-04-26,Delivered,FedEx
5122,Germany,2025-04-20,2025-04-24,Delivered,FedEx
5123,Canada,2025-04-20,2025-04-22,Returned,USPS
5124,Canada,2025-04-20,2025-04-22,Returned,UPS
5125,Australia,2025-04-20,2025-04-25,Delivered,FedEx
5126,Germany,2025-04-20,2025-04-22,Returned,UPS
5127,Germany,2025-04-20,2025-04-25,Returned,FedEx
5128,Australia,2025-04-20,2025-04-25,Shipped,DHL
5129,USA,2025-04-20,2025-04-23,Shipped,UPS
5130,Canada,2025-04-20,2025-04-21,Shipped,FedEx
5131,Australia,2025-04-20,2025-04-27,In Transit,UPS
5132,UK,2025-04-20,2025-04-22,Shipped,DHL
5133,Germany,2025-04-20,2025-04-21,Delivered,UPS
5134,Germany,2025-04-20,2025-04-24,In Transit,FedEx
5135,Canada,2025-04-20,2025-04-25,Returned,FedEx
5136,Australia,2025-04-20,2025-04-27,Delivered,FedEx
5137,USA,2025-04-20,2025-04-21,Returned,USPS
5138,Canada,2025-04-20,2025-04-22,Delivered,UPS
5139,Germany,2025-04-20,2025-04-21,In Transit,UPS
5140,Germany,2025-04-20,2025-04-22,Delivered,USPS
5141,UK,2025-04-20,2025-04-24,In Transit,UPS
5142,USA,2025-04-20,2025-04-25,Delivered,UPS
5143,Australia,2025-04-20,2025-04-23,Returned,FedEx
5144,Germany,2025-04-20,2025-04-21,Delivered,DHL
5145,UK,2025-04-20,2025-04-23,Shipped,UPS
5146,UK,2025-04-20,2025-04-24,Returned,FedEx
5147,USA,2025-04-20,2025-04-27,Returned,FedEx
5148,Australia,2025-04-20,2025-04-24,Returned,UPS
5149,Australia,2025-04-20,2025-04-23,Shipped,USPS
5150,Canada,2025-04-20,2025-04-21,Shipped,DHL
