order_id,customer_country,shipping_date,delivery_date,order_status,shipping_provider
5251,USA,2025-04-23,2025-04-30,Returned,FedEx
5252,USA,2025-04-23,2025-04-28,Returned,FedEx
5253,Australia,2025-04-23,2025-04-27,Returned,UPS
5254,Canada,2025-04-23,2025-04-25,Returned,FedEx
5255,Australia,2025-04-23,2025-04-26,Shipped,USPS
5256,Australia,2025-04-23,2025-04-27,In Transit,DHL
5257,Canada,2025-04-23,2025-04-28,In Transit,FedEx
5258,Australia,2025-04-23,2025-04-25,Shipped,USPS
5259,Germany,2025-04-23,2025-04-30,Delivered,USPS
5260,Canada,2025-04-23,2025-04-27,Shipped,UPS
5261,Australia,2025-04-23,2025-04-26,Delivered,DHL
5262,Canada,2025-04-23,2025-04-26,Returned,DHL
5263,Australia,2025-04-23,2025-04-28,Returned,DHL
5264,UK,2025-04-23,2025-04-24,Shipped,DHL
5265,Australia,2025-04-23,2025-04-30,Shipped,FedEx
5266,Canada,2025-04-23,2025-04-27,In Transit,USPS
5267,Germany,2025-04-23,2025-04-25,Returned,FedEx
5268,Australia,2025-04-23,2025-04-26,Delivered,USPS
5269,Germany,2025-04-23,2025-04-25,Delivered,DHL
5270,Australia,2025-04-23,2025-04-29,Delivered,UPS
5271,Germany,2025-04-23,2025-04-27,In Transit,UPS
5272,Canada,2025-04-23,2025-04-26,Returned,USPS
5273,USA,2025-04-23,2025-04-26,Returned,USPS
5274,UK,2025-04-23,2025-04-30,Delivered,UPS
5275,Germany,2025-04-23,2025-04-24,Delivered,FedEx
5276,UK,2025-04-23,2025-04-24,Shipped,DHL
5277,USA,2025-04-23,2025-04-25,In Transit,UPS
5278,UK,2025-04-23,2025-04-27,Delivered,FedEx
5279,Australia,2025-04-23,2025-04-25,Returned,USPS
5280,Australia,2025-04-23,2025-04-27,In Transit,UPS
5281,USA,2025-04-23,2025-04-27,Shipped,USPS
5282,Germany,2025-04-23,2025-04-28,In Transit,DHL
5283,Canada,2025-04-23,2025-04-24,In Transit,USPS
5284,USA,2025-04-23,2025-04-25,Shipped,FedEx
5285,Canada,2025-04-23,2025-04-30,In Transit,DHL
5286,USA,2025-04-23,2025-04-27,Shipped,UPS
5287,Germany,2025-04-23,2025-04-27,Returned,UPS
5288,USA,2025-04-23,2025-04-27,Delivered,DHL
5289,UK,2025-04-23,2025-04-27,In Transit,USPS
5290,Australia,2025-04-23,2025-04-27,Shipped,FedEx
5291,UK,2025-04-23,2025-04-28,Returned,DHL
5292,USA,2025-04-23,2025-04-25,Returned,UPS
5293,UK,2025-04-23,2025-04-27,Delivered,DHL
5294,UK,2025-04-23,2025-04-24,Delivered,FedEx
5295,UK,2025-04-23,2025-04-27,Shipped,UPS
5296,UK,2025-04-23,2025-04-25,In Transit,UPS
5297,Australia,2025-04-23,2025-04-26,Returned,DHL
5298,Australia,2025-04-23,2025-04-27,In Transit,DHL
5299,Canada,2025-04-23,2025-04-30,Shipped,USPS
5300,Australia,2025-04-23,2025-04-25,Shipped,UPS
