order_id,customer_country,shipping_date,delivery_date,order_status,shipping_provider
5201,UK,2025-04-22,2025-04-24,Delivered,FedEx
5202,USA,2025-04-22,2025-04-23,Returned,FedEx
5203,Canada,2025-04-22,2025-04-24,Delivered,USPS
5204,USA,2025-04-22,2025-04-26,Delivered,FedEx
5205,UK,2025-04-22,2025-04-25,Delivered,UPS
5206,Germany,2025-04-22,2025-04-24,In Transit,USPS
5207,Germany,2025-04-22,2025-04-26,In Transit,UPS
5208,USA,2025-04-22,2025-04-29,Delivered,UPS
5209,Canada,2025-04-22,2025-04-25,Returned,UPS
5210,Canada,2025-04-22,2025-04-23,Shipped,USPS
5211,UK,2025-04-22,2025-04-23,Delivered,FedEx
5212,Canada,2025-04-22,2025-04-23,Returned,UPS
5213,UK,2025-04-22,2025-04-29,Delivered,DHL
5214,UK,2025-04-22,2025-04-29,In Transit,USPS
5215,USA,2025-04-22,2025-04-28,Shipped,USPS
5216,Germany,2025-04-22,2025-04-24,Delivered,DHL
5217,UK,2025-04-22,2025-04-29,In Transit,USPS
5218,USA,2025-04-22,2025-04-26,Returned,DHL
5219,USA,2025-04-22,2025-04-23,In Transit,UPS
5220,Canada,2025-04-22,2025-04-24,Returned,UPS
5221,Germany,2025-04-22,2025-04-27,Shipped,DHL
5222,UK,2025-04-22,2025-04-25,Returned,FedEx
5223,Canada,2025-04-22,2025-04-24,In Transit,FedEx
5224,Australia,2025-04-22,2025-04-23,Shipped,USPS
5225,Germany,2025-04-22,2025-04-24,Shipped,DHL
5226,USA,2025-04-22,2025-04-26,Delivered,USPS
5227,USA,2025-04-22,2025-04-24,Returned,DHL
5228,Germany,2025-04-22,2025-04-26,Delivered,UPS
5229,Australia,2025-04-22,2025-04-28,Delivered,DHL
5230,UK,2025-04-22,2025-04-27,Shipped,DHL
5231,Australia,2025-04-22,2025-04-23,Delivered,UPS
5232,Germany,2025-04-22,2025-04-29,Returned,FedEx
5233,UK,2025-04-22,2025-04-27,Delivered,UPS
5234,Australia,2025-04-22,2025-04-24,In Transit,USPS
5235,UK,2025-04-22,2025-04-29,Delivered,DHL
5236,USA,2025-04-22,2025-04-29,Delivered,USPS
5237,USA,2025-04-22,2025-04-29,In Transit,DHL
5238,Germany,2025-04-22,2025-04-23,Shipped,FedEx
5239,Canada,2025-04-22,2025-04-29,Delivered,FedEx
5240,Germany,2025-04-22,2025-04-23,Returned,DHL
5241,Germany,2025-04-22,2025-04-26,Returned,UPS
5242,Germany,2025-04-22,2025-04-26,Returned,FedEx
5243,Canada,2025-04-22,2025-04-29,Shipped,FedEx
5244,UK,2025-04-22,2025-04-23,Returned,FedEx
5245,USA,2025-04-22,2025-04-27,Returned,UPS
5246,Germany,2025-04-22,2025-04-27,Returned,USPS
5247,Canada,2025-04-22,2025-04-26,Returned,USPS
5248,USA,2025-04-22,2025-04-25,Returned,UPS
5249,UK,2025-04-22,2025-04-23,In Transit,UPS
5250,UK,2025-04-22,2025-04-29,Shipped,DHL
