order_id,customer_country,shipping_date,delivery_date,order_status,shipping_provider
204a0108,IN,2023-01-24,2023-01-27,delivered,DHL
dde46227,IN,2023-11-24,2023-12-03,delayed,Aramex
adaa7d8c,AU,2023-01-01,2023-01-04,delivered,Aramex
a3a85443,ZA,2023-01-18,2023-01-25,delivered,Aramex
a93b9904,AU,2023-04-15,2023-04-17,delivered,DHL
3fe13713,AU,2023-06-09,2023-06-13,delivered,FedEx
3121ca25,IN,2023-07-04,2023-07-08,delivered,Aramex
5bf19ef1,FR,2023-01-24,2023-01-26,delivered,BlueDart
3ac936ca,IN,2023-09-10,2023-09-23,delayed,Aramex
5720def1,DE,2023-12-03,2023-12-06,delivered,UPS
04fd0a5a,IN,2023-04-28,2023-05-02,delivered,BlueDart
cbf107b4,CA,2023-03-12,2023-03-19,delivered,UPS
813647f0,IN,2023-10-21,2023-10-28,delivered,DHL
af71e121,UK,2023-08-13,2023-08-20,delivered,Aramex
d4112a9f,DE,2023-11-11,2023-11-19,delayed,DHL
90d46db1,US,2023-06-13,2023-06-16,delivered,Aramex
d653f4aa,CA,2023-04-21,2023-04-28,delivered,BlueDart
fdcfadeb,UK,2023-05-05,2023-05-11,delivered,Aramex
33ae300d,FR,2023-12-19,2023-12-25,delivered,BlueDart
78351db3,CA,2023-04-05,2023-04-07,delivered,FedEx
4828e4c1,IN,2023-03-21,2023-03-28,delivered,BlueDart
4bf3563c,ZA,2023-02-13,2023-02-18,delivered,Aramex
6457f5a2,FR,2023-09-28,,cancelled,FedEx
5aafdc12,SG,2023-05-25,2023-05-27,delivered,UPS
0a3f0857,AU,2023-03-15,2023-03-22,delivered,UPS
aef92a2f,SG,2023-03-17,,cancelled,UPS
fc32497e,SG,2023-10-07,2023-10-10,delivered,Aramex
0812fdcf,SG,2023-01-20,2023-01-22,delivered,FedEx
4ea02a69,CA,2023-05-08,2023-05-14,delivered,FedEx
c7b9703b,IN,2023-12-16,2023-12-26,delayed,DHL
d707d6ba,BR,2023-09-06,2023-09-12,delivered,BlueDart
11c66112,DE,2023-09-25,2023-10-06,delayed,UPS
1c0a9fd3,AU,2023-11-21,2023-11-27,delivered,BlueDart
c72d59ba,IN,2023-04-08,2023-04-10,delivered,Aramex
90cadb35,SG,2023-04-19,2023-04-21,delivered,FedEx
ee671673,DE,2023-02-02,2023-02-11,delayed,Aramex
3bf80235,DE,2023-05-22,2023-05-28,delivered,DHL
14d7e66a,ZA,2023-10-16,2023-10-21,delivered,BlueDart
8745ee88,DE,2023-02-04,2023-02-08,delivered,BlueDart
0dd98e8a,AU,2023-08-28,2023-09-06,delayed,FedEx
341b75cc,AU,2023-12-11,2023-12-20,delayed,DHL
8a2e4746,DE,2023-04-18,2023-04-23,delivered,DHL
88c392e1,FR,2023-08-08,2023-08-17,delayed,BlueDart
07569507,SG,2023-02-02,2023-02-08,delivered,FedEx
3590725a,IN,2023-04-06,2023-04-11,delivered,DHL
bd6cea81,AU,2023-01-06,2023-01-11,delivered,UPS
03901eac,BR,2023-05-14,2023-05-21,delivered,Aramex
d0c0fbd1,BR,2023-03-07,2023-03-09,delivered,Aramex
1ac568ae,SG,2023-01-24,2023-01-26,delivered,Aramex
bbdcbd16,BR,2023-09-28,2023-09-30,delivered,Aramex
edb2acbb,IN,2023-03-03,2023-03-10,delivered,DHL
220109a1,AU,2023-02-19,2023-02-25,delivered,FedEx
7701904d,ZA,2023-02-14,2023-02-20,delivered,Aramex
9f9c5813,CA,2023-05-07,2023-05-11,delivered,DHL
14934ca4,FR,2023-07-05,2023-07-09,delivered,BlueDart
5002dc90,CA,2023-02-01,2023-02-07,delivered,FedEx
80219eeb,IN,2023-09-07,2023-09-10,delivered,UPS
cef7ac45,IN,2023-04-12,2023-04-17,delivered,Aramex
2c2e7fb8,FR,2023-10-26,2023-10-28,delivered,Aramex
5bd8aefb,FR,2023-11-04,,cancelled,DHL
7279813f,FR,2023-02-04,2023-02-14,delayed,UPS
a2de6416,FR,2023-10-07,2023-10-18,delayed,UPS
25fc5dad,SG,2023-08-09,,cancelled,FedEx
f0cbd707,IN,2023-11-14,2023-11-22,delayed,FedEx
2d52556a,CA,2023-03-21,,cancelled,DHL
e49eda3f,BR,2023-09-23,2023-09-25,delivered,FedEx
3e465fd2,IN,2023-12-05,2023-12-09,delivered,Aramex
4788446c,SG,2023-03-14,2023-03-18,delivered,UPS
3dddbc00,US,2023-06-07,2023-06-14,delivered,FedEx
d4011439,CA,2023-09-28,2023-10-04,delivered,DHL
7c720f08,DE,2023-03-26,2023-04-09,delayed,FedEx
0f400da3,UK,2023-12-11,2023-12-25,delayed,DHL
c727677a,FR,2023-03-26,2023-04-09,delayed,FedEx
e2a46adb,BR,2023-04-07,2023-04-22,delayed,UPS
770a9d17,FR,2023-04-08,2023-04-11,delivered,BlueDart
b07c8712,CA,2023-05-28,2023-06-01,delivered,UPS
2071c0c4,SG,2023-07-22,,cancelled,Aramex
1087fa4d,CA,2023-01-04,2023-01-16,delayed,DHL
4a99cfd7,ZA,2023-05-02,2023-05-07,delivered,UPS
4914d488,CA,2023-07-20,,cancelled,FedEx
efcf8c92,AU,2023-10-07,2023-10-14,delivered,BlueDart
e07516ef,US,2023-09-26,2023-10-03,delivered,DHL
2587ba48,CA,2023-07-03,,cancelled,UPS
7df8d5e4,ZA,2023-06-22,2023-07-04,delayed,Aramex
c385d911,FR,2023-11-14,2023-11-21,delivered,UPS
68a050c7,SG,2023-03-07,2023-03-12,delivered,DHL
6c71c7f9,ZA,2023-10-10,2023-10-12,delivered,UPS
032a9f02,FR,2023-04-14,2023-04-27,delayed,BlueDart
c94fefa3,BR,2023-08-22,2023-08-27,delivered,DHL
b5b4529a,IN,2023-05-17,2023-05-23,delivered,UPS
2ed5ee55,IN,2023-04-22,2023-04-25,delivered,DHL
dc2d9ee7,US,2023-01-08,,cancelled,Aramex
2f30308f,IN,2023-08-14,2023-08-25,delayed,BlueDart
2087c96f,BR,2023-07-08,2023-07-15,delivered,FedEx
4768fa20,IN,2023-07-08,2023-07-15,delivered,Aramex
47d811e8,BR,2023-01-18,2023-01-20,delivered,BlueDart
27c33bf3,UK,2023-08-22,2023-08-28,delivered,Aramex
1328911e,CA,2023-08-20,2023-09-03,delayed,Aramex
d86165aa,BR,2023-03-24,2023-04-08,delayed,UPS
0562133d,DE,2023-11-09,2023-11-24,delayed,DHL
232ad909,FR,2023-08-03,2023-08-14,delayed,UPS
c04a9044,CA,2023-06-18,2023-06-21,delivered,DHL
6fd43717,AU,2023-12-05,2023-12-14,delayed,BlueDart
7a9a501a,AU,2023-06-18,2023-06-20,delivered,DHL
28b1818c,AU,2023-07-25,2023-08-01,delivered,FedEx
590f04ed,ZA,2023-07-16,2023-07-20,delivered,UPS
37a70a3c,AU,2023-07-18,2023-07-29,delayed,BlueDart
c926f44b,DE,2023-05-14,2023-05-19,delivered,UPS
f3dbf891,AU,2023-12-06,2023-12-16,delayed,Aramex
3b7d4f1f,SG,2023-01-13,2023-01-20,delivered,FedEx
c34006fa,IN,2023-11-14,2023-11-19,delivered,DHL
685c3f69,US,2023-05-13,2023-05-18,delivered,UPS
f62c3ed8,CA,2023-07-09,2023-07-23,delayed,UPS
f730c73b,IN,2023-08-01,2023-08-09,delayed,UPS
04f3a1aa,DE,2023-11-03,2023-11-11,delayed,FedEx
db631a8f,DE,2023-04-27,2023-04-30,delivered,DHL
196d11a7,UK,2023-08-22,2023-08-25,delivered,BlueDart
443d42d5,FR,2023-06-06,2023-06-13,delivered,FedEx
dc8327f2,UK,2023-05-04,2023-05-08,delivered,Aramex
b903afdb,AU,2023-07-23,2023-07-29,delivered,DHL
b99a6ba0,IN,2023-12-25,2024-01-01,delivered,Aramex
5fc4e593,IN,2023-10-26,2023-11-01,delivered,BlueDart
1e75eb88,CA,2023-02-17,2023-02-19,delivered,BlueDart
573d22b5,BR,2023-02-14,,cancelled,BlueDart
3f5b2cfa,UK,2023-07-06,2023-07-18,delayed,Aramex
b53d44d7,SG,2023-08-15,2023-08-22,delivered,Aramex
87b8e372,FR,2023-06-28,2023-06-30,delivered,UPS
3c51fbd0,BR,2023-04-25,2023-05-01,delivered,BlueDart
e5dde325,CA,2023-01-16,2023-01-26,delayed,BlueDart
227f848b,DE,2023-06-26,2023-06-30,delivered,Aramex
4655e145,FR,2023-09-01,2023-09-04,delivered,FedEx
6856afd6,DE,2023-12-14,2023-12-17,delivered,BlueDart
37228878,BR,2023-08-26,2023-08-30,delivered,DHL
b86f2797,AU,2023-12-08,2023-12-14,delivered,UPS
c8f20269,BR,2023-09-17,2023-09-24,delivered,Aramex
c82f511a,CA,2023-06-23,2023-06-27,delivered,UPS
